neuron,target,acc,beta0,beta1
34,lick_or_not,0.593103448275862,-0.36131826881845686,0.04765755143246009
35,context,0.4137931034482759,-1.5754885823828877,0.08113001919096098
35,water,0.7034482758620689,-1.1685798708789077,0.08211219673055713
35,lick_or_not,0.6965517241379311,-1.0999018782765164,0.0791569012183644
36,context,0.27586206896551724,0.41770485353160736,-0.013728423540835435
36,water,0.5241379310344827,0.14677731814471423,-0.004309366067863378
36,lick_or_not,0.5448275862068965,0.18449211803849888,-0.004577962655826256
37,context,0.2482758620689655,0.21274802450507904,-0.01060913922299788
37,water,0.5655172413793104,0.22612165640158766,-0.010791159091185474
37,lick_or_not,0.5793103448275863,0.2747715342360718,-0.011736993529640846
38,context,0.26206896551724135,0.34903467093596985,-0.019662753049972545
38,water,0.5379310344827586,0.3370324282316142,-0.018336543221107046
38,lick_or_not,0.5310344827586206,0.3875781293116854,-0.019530157872827608
39,context,0.22758620689655173,-0.1595136739288656,0.027533233282555036
39,water,0.49655172413793097,-0.08312646852252568,0.010290497440320763
39,lick_or_not,0.46896551724137936,-0.048545315712052325,0.00925249820597516
40,context,0.29655172413793107,-0.06835635414154977,0.004021806178164354
40,water,0.5724137931034483,-0.3982268123762175,0.015969178681430187
40,lick_or_not,0.5724137931034482,-0.3603552621821975,0.015564059435505725
41,context,0.22758620689655173,-0.6719715409274537,0.020218525259987793
41,water,0.5586206896551724,-0.7030540980010336,0.022301663973594215
41,lick_or_not,0.5655172413793104,-0.7339358195767054,0.02425589360358574
42,context,0.22758620689655173,-0.04380942064686966,0.004678908459019268
42,water,0.5172413793103449,0.23324356926333337,-0.018064326059356126
42,lick_or_not,0.5448275862068965,0.2739625436946123,-0.019029899860073717
43,context,0.26896551724137935,0.34763512698497384,-0.03281398031343035
43,water,0.5724137931034483,0.21058285047733524,-0.01908428396346824
43,lick_or_not,0.5655172413793104,0.2650705375256313,-0.02137005978590274
44,context,0.23448275862068968,-0.12080410329685556,0.027064136526425427
44,water,0.5517241379310345,0.17586793112382118,-0.033794346415006005
44,lick_or_not,0.5448275862068966,0.22670640127064795,-0.03818219546832943
45,context,0.2206896551724138,-0.057680265533448835,0.00852638720728083
45,water,0.48965517241379314,-0.034722377240857964,0.003284151301306101
45,lick_or_not,0.47586206896551725,0.0027533170806835674,0.0017323143874844876
46,context,0.24137931034482757,0.8904115342915467,-0.15793000214163255
46,water,0.5586206896551724,0.21620724549905143,-0.032636948460311135
46,lick_or_not,0.5517241379310345,0.2691132176345489,-0.036235399228156905
47,context,0.2482758620689655,-0.1770981799867761,0.0076787930831617186
47,water,0.5241379310344827,-0.13923618724213893,0.006019975326554332
47,lick_or_not,0.5379310344827586,-0.09691551947120397,0.005311546960886192
48,context,0.24137931034482757,0.18749944001792265,-0.01389473001521994
48,water,0.5517241379310345,0.348409610783632,-0.02621781028230056
48,lick_or_not,0.5448275862068965,0.41137672809698006,-0.028798501458554462
49,context,0.2827586206896552,-0.03776543226948104,0.0013661548015587606
49,water,0.5862068965517242,-0.4830436021444404,0.011390865847822078
49,lick_or_not,0.5724137931034483,-0.4521855955860411,0.011335942376011793
50,context,0.3448275862068965,0.3949833670275225,-0.027763224459009802
50,water,0.689655172413793,0.8352840373709695,-0.1052729865363618
50,lick_or_not,0.696551724137931,0.8782141991946322,-0.10689867651152507
51,context,0.18620689655172412,-0.08810553754096451,0.007949409033484926
51,water,0.48275862068965525,0.02930720901102853,-0.0040211142888687225
51,lick_or_not,0.48275862068965514,0.057481556912086784,-0.004074012572371166
52,context,0.27586206896551724,0.050841845178273955,0.0007691827326661286
52,water,0.5586206896551724,-0.325791299246716,0.03446027572982436
52,lick_or_not,0.5586206896551724,-0.2917579442456811,0.03378826486478204
53,context,0.1724137931034483,0.15759853571419208,-0.026107188232458903
53,water,0.5448275862068965,0.5066687627141065,-0.09352953690313433
53,lick_or_not,0.5724137931034482,0.558875049547913,-0.09820539462406333
